arm	ontology	km_wall_s	external_wall_s	km_peak_mib	external_peak_mib
elk	ore_ont_6855.owl	0.0425	0.5116	19.01	133.28
elk	ore_ont_6869.owl	0.1608	0.9006	26.49	304.51
elk	ore_ont_6870.owl	0.2806	0.9463	43.37	272.05
elk	ore_ont_6934.owl	0.1123	0.6032	52.31	185.1
elk	ore_ont_7003.owl	0.0418	0.526	8.31	134.63
elk	ore_ont_703.owl	0.0405	0.5453	8.12	159.67
elk	ore_ont_7052.owl	0.0413	0.6273	11.8	182.8
elk	ore_ont_7120.owl	0.0427	0.6662	10.87	178.61
elk	ore_ont_7127.owl	8.9391	2.5747	1959.93	1067.79
elk	ore_ont_7169.owl	0.0413	0.581	8.44	162.11
elk	ore_ont_7195.owl	0.2552	0.7595	40.46	272.11
elk	ore_ont_7218.owl	0.1	0.7159	19.55	241.88
elk	ore_ont_7220.owl	0.041	0.5979	8.75	155.08
elk	ore_ont_7234.owl	0.222	0.8702	39.94	326.39
elk	ore_ont_7246.owl	1.3724	5.3136	24.87	3534.08
elk	ore_ont_725.owl	0.0411	0.6018	9.69	170.28
elk	ore_ont_7251.owl	0.1308	0.8708	28.7	225.15
elk	ore_ont_7256.owl	0.0703	1.2691	4.69	430.05
elk	ore_ont_7270.owl	0.0412	0.5241	7.19	136.43
elk	ore_ont_7300.owl	1.5105	1.3406	363.5	467.01
elk	ore_ont_7340.owl	2.6455	2.5354	301.0	759.47
elk	ore_ont_7343.owl	0.2135	1.315	4.92	638.81
elk	ore_ont_7409.owl	7.1444	2.8719	1671.8	1200.78
elk	ore_ont_7417.owl	0.0418	0.5425	7.5	139.75
elk	ore_ont_7418.owl	0.0698	0.5451	9.04	140.36
elk	ore_ont_7439.owl	0.1626	0.8146	31.49	262.24
elk	ore_ont_7482.owl	0.0423	0.4784	7.19	133.85
elk	ore_ont_7493.owl	0.6421	1.186	74.16	634.33
elk	ore_ont_7567.owl	2.169	2.0761	227.86	775.78
elk	ore_ont_7576.owl	0.0426	0.547	7.81	136.04
elk	ore_ont_7581.owl	17.6839	4.0737	4252.74	1910.53
elk	ore_ont_7608.owl	0.2244	1.2334	42.6	353.2
elk	ore_ont_7639.owl	0.0413	0.5506	7.81	138.41
elk	ore_ont_7663.owl	0.0408	0.5196	6.88	140.93
elk	ore_ont_7716.owl	0.3409	0.958	52.47	369.72
elk	ore_ont_7726.owl	0.3711	0.9372	46.34	282.97
elk	ore_ont_7728.owl	1.8759	1.8682	203.13	762.27
elk	ore_ont_7775.owl	0.3456	0.674	135.86	214.63
elk	ore_ont_7831.owl	0.0415	1.0316	3.75	367.17
elk	ore_ont_7868.owl	5.2412	2.4669	390.95	1201.06
elk	ore_ont_7890.owl	0.041	0.5137	6.56	138.65
elk	ore_ont_795.owl	3.4673	1.8461	239.34	749.9
elk	ore_ont_7956.owl	5.3321	1.9419	1314.57	740.62
elk	ore_ont_7993.owl	0.1573	1.8029	7.12	707.98
elk	ore_ont_8021.owl	0.0419	0.5469	9.67	167.82
elk	ore_ont_8068.owl	5.1133	1.4856	454.95	666.27
elk	ore_ont_8135.owl	0.0415	0.5753	9.06	124.35
elk	ore_ont_8145.owl	0.2431	1.4348	4.92	632.36
elk	ore_ont_8169.owl	0.0411	0.5169	7.19	93.66
elk	ore_ont_8175.owl	0.0712	0.6714	10.55	194.3
elk	ore_ont_8298.owl	0.0708	0.6896	10.87	171.61
elk	ore_ont_8329.owl	0.1066	0.7851	20.24	200.93
elk	ore_ont_8347.owl	0.6473	0.9865	159.87	298.8
elk	ore_ont_8369.owl	0.0419	0.5397	8.49	136.76
elk	ore_ont_840.owl	0.7024	1.43	83.17	648.8
elk	ore_ont_8462.owl	0.0421	0.5737	8.55	90.61
elk	ore_ont_8480.owl	1.6921	1.4711	321.34	577.33
elk	ore_ont_8486.owl	4.2665	13.7145	227.79	4194.0
elk	ore_ont_8492.owl	0.2019	0.7678	31.49	251.64
elk	ore_ont_8557.owl	0.1297	1.2552	4.92	552.81
elk	ore_ont_8579.owl	0.2297	0.9187	50.82	310.12
elk	ore_ont_8634.owl	1.24	1.382	115.53	605.57
elk	ore_ont_8641.owl	0.1313	0.7647	24.86	252.02
elk	ore_ont_8667.owl	0.0401	0.5079	6.56	133.31
elk	ore_ont_868.owl	4.7157	12.6636	269.11	5871.01
elk	ore_ont_869.owl	0.0699	0.7245	11.18	210.9
elk	ore_ont_8730.owl	0.0717	0.5416	10.09	150.75
elk	ore_ont_8737.owl	8.8792	37.1815	60.14	6669.34
elk	ore_ont_8744.owl	0.0701	0.6362	12.39	196.57
elk	ore_ont_8759.owl	0.1307	0.7455	17.11	234.3
elk	ore_ont_8792.owl	0.2227	0.8797	40.88	345.39
elk	ore_ont_8806.owl	0.042	0.5186	7.81	137.52
elk	ore_ont_8864.owl	0.5452	0.8363	111.36	289.27
elk	ore_ont_8937.owl	0.0411	0.4999	7.5	134.0
elk	ore_ont_8974.owl	0.0415	0.5355	7.5	131.14
elk	ore_ont_8982.owl	2.7405	2.5223	292.79	772.62
elk	ore_ont_9002.owl	0.0416	0.5698	8.75	142.87
elk	ore_ont_9014.owl	0.7042	0.9236	203.67	247.52
elk	ore_ont_9020.owl	0.131	0.5796	20.86	202.86
elk	ore_ont_9031.owl	0.0412	0.5198	7.19	134.73
elk	ore_ont_935.owl	0.4439	0.9516	49.82	383.76
elk	ore_ont_9400.owl	8.9722	3.3978	735.67	1066.9
elk	ore_ont_9435.owl	0.0714	0.6781	14.62	223.57
elk	ore_ont_947.owl	0.1593	0.8187	26.49	279.57
elk	ore_ont_9498.owl	1.3249	5.3533	89.82	1670.42
elk	ore_ont_9499.owl	8.4223	4.7602	784.59	1147.67
elk	ore_ont_9509.owl	0.0416	0.4896	5.94	136.16
elk	ore_ont_9513.owl	0.3587	0.9497	43.06	334.65
elk	ore_ont_9567.owl	0.7627	1.1649	129.82	536.3
elk	ore_ont_9590.owl	0.1616	1.0931	32.87	327.61
elk	ore_ont_9598.owl	0.0405	0.6416	10.55	177.78
elk	ore_ont_9612.owl	0.2524	0.8155	59.58	276.08
elk	ore_ont_964.owl	0.1936	0.9303	41.45	309.91
elk	ore_ont_9646.owl	0.0703	0.674	12.75	202.3
elk	ore_ont_9674.owl	4.9099	12.5166	267.22	5848.54
elk	ore_ont_9695.owl	0.0413	0.5894	9.06	99.57
elk	ore_ont_9761.owl	0.1008	0.7615	20.86	244.19
elk	ore_ont_9768.owl	0.1287	1.7196	8.05	717.78
elk	ore_ont_9772.owl	0.1063	0.7232	30.27	225.35
elk	ore_ont_9790.owl	0.1006	0.7701	16.85	239.35
elk	ore_ont_9792.owl	0.1892	0.9484	26.46	323.93
elk	ore_ont_9794.owl	0.7448	3.1233	21.29	1220.29
elk	ore_ont_9857.owl	0.0704	0.6687	14.38	158.1
elk	ore_ont_9881.owl	10.4258	0.6289	1893.54	206.39
elk	ore_ont_9894.owl	0.7828	1.3823	92.88	572.81
elk	ore_ont_9904.owl	0.0415	0.5552	7.81	137.06
elk	ore_ont_9944.owl	1.0523	0.9905	278.56	529.12
elk	ore_ont_9958.owl	3.1963	1.5397	565.28	706.63
hermit	ore_ont_10016.owl	0.8033	25.9978	30.54	5574.59
hermit	ore_ont_10032.owl	5.1701	19.0051	1180.57	4778.28
hermit	ore_ont_10056.owl	0.0409	1.0593	7.5	262.5
hermit	ore_ont_10073.owl	12.2219	8.9657	1147.01	2683.46
hermit	ore_ont_10123.owl	0.4062	1.9598	90.88	717.19
hermit	ore_ont_10127.owl	1.1901	11.5273	206.96	747.54
hermit	ore_ont_10134.owl	0.041	1.2306	9.38	563.39
hermit	ore_ont_10146.owl	0.1588	1.3838	39.95	668.54
hermit	ore_ont_1016.owl	0.9352	2.4717	306.5	705.42
hermit	ore_ont_10160.owl	0.041	1.275	10.55	504.27
hermit	ore_ont_1017.owl	0.0411	1.1527	9.06	453.36
hermit	ore_ont_10175.owl	2.8728	24.183	180.26	2748.14
hermit	ore_ont_10212.owl	0.0715	1.6143	18.12	388.57
hermit	ore_ont_10242.owl	0.3236	41.8266	132.56	753.12
hermit	ore_ont_10248.owl	2.9692	22.989	268.24	4665.09
hermit	ore_ont_10280.owl	0.1385	2.2119	23.05	1233.73
hermit	ore_ont_10283.owl	0.0417	1.1063	8.44	551.05
hermit	ore_ont_10309.owl	0.0414	0.8795	6.88	192.63
hermit	ore_ont_10314.owl	0.0416	0.9335	8.34	222.88
hermit	ore_ont_10321.owl	0.0415	1.0058	9.58	215.97
hermit	ore_ont_1034.owl	0.041	0.9594	8.54	216.98
hermit	ore_ont_10362.owl	0.0719	1.0112	17.81	222.36
hermit	ore_ont_10389.owl	0.1907	2.1773	30.84	759.26
hermit	ore_ont_10413.owl	0.0413	1.0362	8.57	202.25
hermit	ore_ont_10445.owl	1.4402	10.1264	14.09	1908.4
hermit	ore_ont_105.owl	0.0411	1.0561	6.25	248.54
hermit	ore_ont_10516.owl	0.0409	1.0004	8.12	252.38
hermit	ore_ont_10536.owl	0.0408	1.0505	7.19	194.2
hermit	ore_ont_10594.owl	0.3134	44.6244	114.41	725.46
hermit	ore_ont_10689.owl	4.894	131.0942	267.25	11228.02
hermit	ore_ont_10697.owl	2.2235	40.3981	326.4	961.34
hermit	ore_ont_10702.owl	1.0928	5.0101	22.5	510.86
hermit	ore_ont_10742.owl	0.0709	1.3662	14.3	558.2
hermit	ore_ont_10749.owl	0.4715	38.285	258.48	716.41
hermit	ore_ont_10769.owl	0.0409	1.0024	8.44	188.1
hermit	ore_ont_10778.owl	1.774	10.7945	132.09	2590.53
hermit	ore_ont_10781.owl	0.6828	1.4004	551.84	343.69
hermit	ore_ont_10806.owl	0.1352	2.5442	29.62	1169.12
hermit	ore_ont_1082.owl	1.0778	17.49	95.05	2077.9
hermit	ore_ont_10833.owl	0.0415	1.066	8.75	214.22
hermit	ore_ont_10890.owl	0.1608	2.807	26.5	781.2
hermit	ore_ont_10908.owl	0.169	10.0092	68.89	690.79
hermit	ore_ont_10951.owl	0.138	2.4365	29.43	459.26
hermit	ore_ont_10968.owl	0.0708	1.6316	15.96	718.27
hermit	ore_ont_11009.owl	0.0712	1.1728	14.38	469.7
hermit	ore_ont_11010.owl	0.0415	1.1326	7.81	246.54
hermit	ore_ont_11014.owl	0.0413	1.1479	9.06	518.06
hermit	ore_ont_11016.owl	0.3219	1.3105	188.89	260.54
hermit	ore_ont_11081.owl	0.7644	6.3351	58.56	1322.82
hermit	ore_ont_11140.owl	0.0719	1.727	18.99	698.07
hermit	ore_ont_11207.owl	1.1729	11.9419	205.31	727.22
hermit	ore_ont_11291.owl	0.0723	1.0466	14.06	203.28
hermit	ore_ont_11293.owl	2.9208	21.528	263.61	4606.12
hermit	ore_ont_11315.owl	12.8925	38.2577	907.39	4007.5
hermit	ore_ont_11316.owl	0.2502	1.7565	64.96	625.43
hermit	ore_ont_11389.owl	0.3021	11.1918	14.5	2613.92
hermit	ore_ont_11452.owl	0.2225	2.7062	32.79	739.86
hermit	ore_ont_11497.owl	0.041	0.996	8.75	218.79
hermit	ore_ont_11502.owl	0.3121	2.0669	46.81	746.84
hermit	ore_ont_11504.owl	0.041	1.1155	6.56	275.09
hermit	ore_ont_11519.owl	2.5817	21.0932	211.23	4748.97
hermit	ore_ont_11522.owl	0.0424	1.0033	9.06	217.82
hermit	ore_ont_11523.owl	0.0418	1.1238	8.12	221.53
hermit	ore_ont_11526.owl	0.0417	1.0093	10.2	219.38
hermit	ore_ont_11559.owl	1.2436	6.9436	142.05	4488.57
hermit	ore_ont_11577.owl	0.0897	1.1252	10.41	256.43
hermit	ore_ont_11619.owl	0.0744	1.601	15.57	756.03
hermit	ore_ont_11623.owl	0.7888	2.2684	271.54	695.84
hermit	ore_ont_11639.owl	0.0419	0.9938	5.94	249.54
hermit	ore_ont_11739.owl	2.063	53.2015	18.75	8163.52
hermit	ore_ont_11745.owl	11.5604	150.935	3551.01	5707.87
hermit	ore_ont_11778.owl	1.9898	12.2705	213.8	4750.82
hermit	ore_ont_11866.owl	0.0416	0.9399	8.12	202.53
hermit	ore_ont_11889.owl	0.0717	1.1832	10.43	338.86
hermit	ore_ont_11978.owl	0.0417	1.0907	9.06	211.52
hermit	ore_ont_12007.owl	0.041	1.062	6.56	249.9
hermit	ore_ont_12009.owl	0.0417	1.2015	9.69	475.49
hermit	ore_ont_12087.owl	3.7793	21.5106	363.05	5598.31
hermit	ore_ont_1212.owl	0.2247	1.8406	47.58	531.86
hermit	ore_ont_12141.owl	0.389	1.4224	77.69	276.91
hermit	ore_ont_12149.owl	0.7686	6.2977	73.73	2569.21
hermit	ore_ont_12161.owl	0.2221	2.39	32.69	806.15
hermit	ore_ont_12194.owl	0.2834	3.3982	45.64	1374.03
hermit	ore_ont_12281.owl	0.0712	1.7563	11.18	588.14
hermit	ore_ont_12387.owl	4.358	19.8215	422.03	5664.46
hermit	ore_ont_12397.owl	0.0412	2.2003	10.55	732.22
hermit	ore_ont_12405.owl	0.2217	2.0483	64.27	753.59
hermit	ore_ont_12414.owl	4.9557	7.1708	476.87	2486.86
hermit	ore_ont_12528.owl	1.077	18.0614	120.92	3764.31
hermit	ore_ont_12653.owl	0.1029	1.793	48.67	232.11
hermit	ore_ont_12698.owl	1.7982	10.1992	723.2	1632.1
hermit	ore_ont_1272.owl	2.7409	6.1572	676.85	2469.93
hermit	ore_ont_12776.owl	0.1057	1.808	16.18	732.65
hermit	ore_ont_12802.owl	0.2522	2.7973	62.5	1256.94
hermit	ore_ont_12831.owl	0.0412	1.3441	7.5	384.94
hermit	ore_ont_12906.owl	0.0413	1.0499	5.94	209.27
hermit	ore_ont_13000.owl	0.1612	2.359	31.8	775.78
hermit	ore_ont_13035.owl	0.074	2.5572	79.02	535.14
hermit	ore_ont_13053.owl	0.0416	1.0941	7.19	267.84
hermit	ore_ont_13066.owl	0.0431	1.1107	8.13	214.82
hermit	ore_ont_13071.owl	1.4159	5.4295	393.61	2353.41
hermit	ore_ont_13113.owl	0.1068	2.7478	45.37	653.72
hermit	ore_ont_13132.owl	0.0737	1.3905	61.55	252.18
hermit	ore_ont_13141.owl	0.1012	1.8744	18.68	744.8
hermit	ore_ont_13204.owl	0.0414	0.9611	6.88	196.81
hermit	ore_ont_13224.owl	5.9622	39.6031	358.57	4703.8
hermit	ore_ont_13234.owl	0.0413	1.1315	6.88	301.25
hermit	ore_ont_13243.owl	1.5906	9.8577	135.48	2522.91
hermit	ore_ont_1325.owl	0.0406	1.0235	7.5	271.14
hermit	ore_ont_13277.owl	0.0413	0.9682	7.19	204.34
hermit	ore_ont_13301.owl	0.0416	1.2005	6.88	307.12
hermit	ore_ont_13355.owl	1.1769	36.3046	78.28	6783.51
hermit	ore_ont_13383.owl	0.0706	2.1608	40.04	459.84
hermit	ore_ont_13392.owl	0.0417	1.0258	8.95	216.4
hermit	ore_ont_1340.owl	0.2801	1.6184	115.41	730.89
hermit	ore_ont_13429.owl	0.0412	0.9554	5.94	207.7
hermit	ore_ont_13444.owl	0.1641	1.5475	84.29	674.52
hermit	ore_ont_13503.owl	0.0417	1.024	11.03	200.54
hermit	ore_ont_13530.owl	0.0413	1.0664	6.88	239.18
hermit	ore_ont_1357.owl	1.7334	8.8592	190.35	4504.46
hermit	ore_ont_13578.owl	0.0413	1.2936	10.0	441.78
hermit	ore_ont_13621.owl	0.34	40.4862	134.74	729.74
hermit	ore_ont_13643.owl	0.0418	0.9918	5.94	225.19
hermit	ore_ont_13664.owl	0.7055	4.5313	77.72	2406.5
hermit	ore_ont_1370.owl	2.9877	8.8405	258.98	2511.16
hermit	ore_ont_13752.owl	0.2666	3.4736	40.09	771.16
hermit	ore_ont_13755.owl	0.1024	1.6311	30.72	714.22
hermit	ore_ont_13759.owl	0.0412	1.3298	9.46	232.54
hermit	ore_ont_13762.owl	0.1657	1.0766	151.55	201.97
hermit	ore_ont_13772.owl	0.0411	1.1516	8.62	222.0
hermit	ore_ont_13840.owl	0.1004	1.6954	19.62	728.36
hermit	ore_ont_13852.owl	0.1897	3.6445	50.24	1327.79
hermit	ore_ont_13887.owl	0.072	1.191	10.45	332.88
hermit	ore_ont_13902.owl	0.0704	4.2335	5.0	1461.52
hermit	ore_ont_13912.owl	0.0409	1.393	7.19	240.82
hermit	ore_ont_13964.owl	0.0405	4.2797	5.0	1277.33
hermit	ore_ont_13969.owl	2.7382	19.7553	211.17	4730.21
hermit	ore_ont_14027.owl	0.1323	2.4821	30.14	1260.49
hermit	ore_ont_14031.owl	0.0713	1.4845	11.18	613.81
hermit	ore_ont_14123.owl	0.0416	1.2718	9.38	516.02
hermit	ore_ont_14153.owl	0.1299	1.4538	40.27	581.12
hermit	ore_ont_14194.owl	0.3218	41.7252	136.26	747.32
hermit	ore_ont_1420.owl	0.0411	0.8457	7.5	198.93
hermit	ore_ont_14216.owl	0.1286	112.0262	7.5	3104.79
hermit	ore_ont_14273.owl	0.0421	1.061	7.96	205.98
hermit	ore_ont_14280.owl	0.1869	2.6842	32.39	768.41
hermit	ore_ont_14312.owl	2.65	5.9623	593.29	2356.15
hermit	ore_ont_14327.owl	0.0412	1.2901	6.56	259.27
hermit	ore_ont_14375.owl	0.5255	4.0405	96.08	659.29
hermit	ore_ont_14450.owl	0.2838	1.9611	114.21	764.67
hermit	ore_ont_14459.owl	4.0276	146.2501	216.18	10886.96
hermit	ore_ont_14499.owl	0.1912	2.1339	29.62	767.3
hermit	ore_ont_14508.owl	0.0414	3.7697	5.0	1802.57
hermit	ore_ont_14518.owl	0.0438	1.1384	7.5	216.69
hermit	ore_ont_14543.owl	1.2763	5.9736	129.88	2472.46
hermit	ore_ont_14574.owl	0.1855	1.8434	30.0	702.05
hermit	ore_ont_14587.owl	0.1625	2.7043	27.43	767.93
hermit	ore_ont_14607.owl	0.8395	7.4375	11.18	1519.25
hermit	ore_ont_1473.owl	0.0431	1.1675	8.12	567.88
hermit	ore_ont_148.owl	0.3123	77.895	135.85	747.88
hermit	ore_ont_1481.owl	2.4546	80.1703	322.0	4338.32
hermit	ore_ont_14826.owl	0.0414	1.293	8.98	209.3
hermit	ore_ont_14840.owl	0.0419	1.5385	9.38	555.75
hermit	ore_ont_14848.owl	0.0426	1.4222	8.44	221.07
hermit	ore_ont_14896.owl	0.3152	44.4206	139.97	714.27
hermit	ore_ont_14901.owl	0.0512	1.3583	8.75	374.97
hermit	ore_ont_14926.owl	0.0387	1.2872	6.25	241.74
hermit	ore_ont_1493.owl	0.1319	2.2947	21.49	743.54
hermit	ore_ont_14934.owl	0.8575	5.8013	107.03	2396.23
hermit	ore_ont_1494.owl	0.041	1.0435	8.44	328.03
hermit	ore_ont_1501.owl	0.1603	2.2235	31.49	776.66
hermit	ore_ont_15068.owl	0.041	1.2443	5.94	231.8
hermit	ore_ont_15098.owl	0.0719	1.6063	21.34	369.5
hermit	ore_ont_15099.owl	0.0697	4.1437	3.75	2356.47
hermit	ore_ont_15145.owl	0.0419	1.1681	5.94	208.16
hermit	ore_ont_15152.owl	0.1908	2.3008	54.22	718.79
hermit	ore_ont_15172.owl	2.3287	4.6089	290.65	1299.98
hermit	ore_ont_15178.owl	0.453	3.5024	87.63	1302.65
hermit	ore_ont_15222.owl	0.0995	1.8547	23.2	729.91
hermit	ore_ont_15231.owl	0.0415	1.2389	7.19	227.89
hermit	ore_ont_15260.owl	0.2208	2.9103	39.65	715.65
hermit	ore_ont_15288.owl	0.1023	1.7602	24.07	362.56
hermit	ore_ont_15292.owl	0.0419	1.5939	11.18	663.06
hermit	ore_ont_15341.owl	0.0997	1.8079	19.71	709.49
hermit	ore_ont_15388.owl	1.4578	9.6764	130.07	2446.29
hermit	ore_ont_15397.owl	0.0411	1.2423	7.81	348.18
hermit	ore_ont_15399.owl	0.0385	1.1124	7.19	189.89
hermit	ore_ont_15461.owl	0.0422	1.3017	10.0	220.87
hermit	ore_ont_15491.owl	1.6091	3.5072	654.19	797.61
hermit	ore_ont_15516.owl	0.1598	1.5987	25.06	214.95
hermit	ore_ont_15536.owl	0.7142	6.7497	136.38	721.39
hermit	ore_ont_1555.owl	0.162	1.7645	111.72	713.79
hermit	ore_ont_15576.owl	0.0418	1.0297	6.25	242.41
hermit	ore_ont_15615.owl	0.5169	38.7756	283.39	753.35
hermit	ore_ont_15672.owl	0.7546	2.1236	65.68	315.64
hermit	ore_ont_15696.owl	2.2182	19.2662	180.65	6066.56
hermit	ore_ont_15703.owl	2.8293	43.4941	53.8	6582.17
hermit	ore_ont_15725.owl	1.6371	16.3057	252.35	737.21
hermit	ore_ont_15790.owl	0.3808	3.94	53.62	2315.09
hermit	ore_ont_15791.owl	0.435	1.8953	78.75	507.44
hermit	ore_ont_15793.owl	0.2856	2.8167	72.84	844.49
hermit	ore_ont_15803.owl	1.5136	230.3537	109.79	7259.68
hermit	ore_ont_15860.owl	0.074	1.5978	10.28	664.96
hermit	ore_ont_15882.owl	0.0419	1.1985	6.25	256.27
hermit	ore_ont_15917.owl	0.0999	1.7487	19.8	750.18
hermit	ore_ont_15929.owl	2.982	21.3309	263.31	4624.25
hermit	ore_ont_15932.owl	0.133	1.8638	34.3	708.0
hermit	ore_ont_15944.owl	0.1009	1.8555	18.68	754.56
hermit	ore_ont_15950.owl	0.0413	1.5492	10.0	611.81
hermit	ore_ont_15968.owl	0.0718	1.6596	17.13	660.9
hermit	ore_ont_15976.owl	4.6411	29.2485	363.59	5632.15
hermit	ore_ont_15985.owl	0.0411	1.3293	9.38	496.47
hermit	ore_ont_16008.owl	3.5768	101.8127	191.96	10290.62
hermit	ore_ont_1603.owl	4.8142	4.7099	481.91	638.62
hermit	ore_ont_16076.owl	0.043	1.077	7.19	230.1
hermit	ore_ont_16114.owl	0.1626	2.8817	32.01	1267.29
hermit	ore_ont_16167.owl	0.0416	1.2545	8.75	213.69
hermit	ore_ont_1618.owl	0.0414	1.0352	14.81	214.93
hermit	ore_ont_16299.owl	0.2205	2.4585	34.22	748.03
hermit	ore_ont_16303.owl	4.1201	2.9002	2098.83	716.86
hermit	ore_ont_16312.owl	0.0413	1.5556	8.44	484.48
hermit	ore_ont_16351.owl	0.0419	1.1315	7.19	205.0
hermit	ore_ont_16444.owl	9.1775	50.6992	1911.52	5936.14
hermit	ore_ont_16461.owl	0.3019	1.4559	24.29	222.1
hermit	ore_ont_16501.owl	0.0418	1.2335	8.75	229.04
hermit	ore_ont_16558.owl	0.1376	2.1244	18.37	748.35
hermit	ore_ont_16559.owl	0.0422	2.7777	4.38	795.54
hermit	ore_ont_16596.owl	4.2812	16.7727	362.37	5602.35
hermit	ore_ont_16619.owl	0.3964	9.5583	49.25	982.52
hermit	ore_ont_16626.owl	0.0413	1.2127	7.19	247.05
hermit	ore_ont_1666.owl	0.1279	1.8572	28.34	769.84
hermit	ore_ont_16684.owl	0.0704	5.5414	4.69	2399.15
hermit	ore_ont_16687.owl	0.4329	3.8363	68.76	2344.29
hermit	ore_ont_16730.owl	0.0431	1.1152	6.56	295.78
hermit	ore_ont_16777.owl	0.0424	1.0501	8.75	220.7
hermit	ore_ont_16821.owl	0.0442	1.234	7.5	292.09
hermit	ore_ont_178.owl	0.1064	1.149	34.16	219.39
hermit	ore_ont_1790.owl	0.3127	73.4435	134.77	724.34
hermit	ore_ont_1793.owl	0.071	1.1413	8.75	310.97
hermit	ore_ont_1902.owl	0.0412	1.0186	8.75	226.91
hermit	ore_ont_1967.owl	0.0412	0.829	7.19	200.6
hermit	ore_ont_1970.owl	0.1598	1.9434	26.8	728.27
hermit	ore_ont_2011.owl	0.0409	1.1672	9.06	542.32
hermit	ore_ont_2036.owl	0.0435	0.8805	6.88	202.5
hermit	ore_ont_2046.owl	0.1321	98.1057	6.38	2886.53
hermit	ore_ont_2066.owl	0.0435	0.9658	6.88	257.65
hermit	ore_ont_2105.owl	0.0415	2.2519	5.0	764.67
hermit	ore_ont_2128.owl	0.2842	2.3608	36.8	1306.82
hermit	ore_ont_2129.owl	0.4144	3.4745	85.05	805.1
hermit	ore_ont_2195.owl	0.1122	1.0018	34.1	240.17
hermit	ore_ont_2228.owl	0.0408	0.9102	8.75	209.91
hermit	ore_ont_2237.owl	0.0415	0.9306	8.52	221.91
hermit	ore_ont_2243.owl	0.2714	10.5715	14.79	2625.65
hermit	ore_ont_2253.owl	0.1564	102.0421	7.43	2973.93
hermit	ore_ont_2266.owl	0.0407	1.2117	9.38	415.07
hermit	ore_ont_2313.owl	8.3556	2.7047	267.2	710.82
hermit	ore_ont_2317.owl	0.3112	3.1048	52.18	1293.39
hermit	ore_ont_2333.owl	0.1339	1.4767	49.09	714.36
hermit	ore_ont_2361.owl	5.0317	7.2912	449.63	2472.87
hermit	ore_ont_2377.owl	0.0989	1.9868	17.12	609.66
hermit	ore_ont_2378.owl	0.0433	1.1607	8.44	517.88
hermit	ore_ont_2397.owl	2.0631	8.0319	510.52	1473.89
hermit	ore_ont_2440.owl	0.0707	1.363	11.18	592.7
hermit	ore_ont_2453.owl	0.3129	4.8671	69.05	631.4
hermit	ore_ont_2469.owl	2.8675	21.1597	234.33	4569.31
hermit	ore_ont_2485.owl	0.0406	0.9705	7.19	207.73
hermit	ore_ont_2491.owl	0.0432	2.6988	3.44	1261.64
hermit	ore_ont_2496.owl	0.0428	1.3012	11.14	563.77
hermit	ore_ont_2497.owl	0.2081	2.5815	31.8	739.3
hermit	ore_ont_2557.owl	0.0412	0.9437	8.31	211.6
hermit	ore_ont_2569.owl	0.0707	1.4769	12.43	735.51
hermit	ore_ont_258.owl	0.0405	0.9995	5.94	241.88
hermit	ore_ont_2591.owl	0.279	2.7094	73.74	1287.26
hermit	ore_ont_2627.owl	1.2563	4.556	299.65	2456.02
hermit	ore_ont_2632.owl	1.7728	87.3619	461.56	2472.85
hermit	ore_ont_2654.owl	0.0411	0.8915	8.49	226.33
hermit	ore_ont_2661.owl	0.3437	3.9443	56.18	2379.46
hermit	ore_ont_2662.owl	0.0404	0.936	7.5	224.83
hermit	ore_ont_2669.owl	0.1597	1.2189	25.62	246.76
hermit	ore_ont_2672.owl	0.0409	1.0485	8.44	363.13
hermit	ore_ont_2678.owl	0.0731	1.1306	63.44	224.33
hermit	ore_ont_269.owl	0.0693	5.475	4.69	1427.3
hermit	ore_ont_2713.owl	0.0404	1.0173	8.12	259.26
hermit	ore_ont_2720.owl	0.0417	1.0409	8.44	396.85
hermit	ore_ont_2744.owl	0.1288	1.9448	71.79	397.88
hermit	ore_ont_2753.owl	0.0409	0.9699	7.5	247.53
hermit	ore_ont_2803.owl	3.1908	21.8045	190.28	4650.43
hermit	ore_ont_2828.owl	6.9702	87.8177	375.12	4756.43
hermit	ore_ont_2860.owl	0.2272	1.2081	139.38	242.61
hermit	ore_ont_2876.owl	0.0412	1.0069	6.88	208.16
hermit	ore_ont_3050.owl	0.3121	75.2391	132.56	748.72
hermit	ore_ont_3082.owl	0.0414	0.9257	5.62	215.71
hermit	ore_ont_3106.owl	0.1296	2.2812	23.87	748.03
hermit	ore_ont_3164.owl	2.6125	51.4904	442.96	919.64
hermit	ore_ont_3177.owl	0.1601	2.0861	27.31	951.89
hermit	ore_ont_3231.owl	0.0713	1.6266	35.0	327.47
hermit	ore_ont_3259.owl	0.0704	0.9974	9.04	237.61
hermit	ore_ont_3260.owl	0.0449	1.0607	12.17	219.14
hermit	ore_ont_33.owl	0.2492	2.5546	34.61	1252.89
hermit	ore_ont_3313.owl	0.0408	1.3175	9.93	442.11
hermit	ore_ont_3349.owl	0.0411	1.105	9.06	380.96
hermit	ore_ont_3377.owl	1.9119	175.7385	110.39	6957.5
hermit	ore_ont_338.owl	0.0414	0.9068	8.75	210.19
hermit	ore_ont_3406.owl	0.3752	2.6863	56.07	1044.66
hermit	ore_ont_3414.owl	4.5773	10.2901	981.27	2572.76
